VJGene	WAS9CD8TCM	WAS6CD8TCM	WAS4CD8TCM	WAS8CD8TCM	WAS4CD4TEM	WAS6CD4TEM	WAS8CD4TEM	WAS9CD4TEM
TRBV12-1|TRBJ2-1	0.0056	0	0.0065	0.0013	0.0228	0.0212	0.0255	0.0223
TRBV29|TRBJ2-7	0.0056	0.0042	0.0049	0.0054	0.0043	0.01	0.0117	0.0061
TRBV31|TRBJ2-5	0.0056	0.0067	0.0081	0.008	0.0031	0.0025	0.0024	0.0015
TRBV15|TRBJ2-1	0.0056	0.0108	0.0146	0.0094	0.0074	0.005	0.0099	0.0067
TRBV12-2|TRBJ2-7	0.0056	0.0042	0.0065	0.0134	0.0253	0.0325	0.0315	0.0308
TRBV2|TRBJ2-7	0.0056	0.005	0.0065	0.0074	0.0062	0.005	0.0021	0.0038
TRBV12-1|TRBJ2-5	0.0056	0.0042	0.0049	0.0013	0.0055	0	0.009	0.0099
TRBV13-3|TRBJ2-3	0.0056	0.0067	0.0049	0.0094	0.0049	0.0025	0.0072	0.0058
TRBV13-3|TRBJ2-2	0.0056	0.0017	0.0097	0.0013	0.0018	0.0037	0.0027	0.0015
TRBV13-3|TRBJ1-2	0.0056	0.0025	0.0032	0.0027	0.0049	0.0062	0.0027	0.0055
TRBV13-3|TRBJ1-5	0.0056	0	0.0081	0.0013	0	0.0012	0.0003	0.0006
TRBV19|TRBJ1-3	0.0056	0.0033	0.0065	0.0034	0.0018	0.0025	0.0012	0.0012
TRBV19|TRBJ1-1	0.0056	0.0117	0.0097	0.0027	0.0037	0.01	0.0024	0.0061
TRBV4|TRBJ2-4	0.0056	0.0075	0.0032	0.0067	0.0055	0.0087	0.0024	0.0038
TRBV5|TRBJ1-4	0.0056	0.0075	0.0146	0.008	0.0037	0	0.0015	0.0038
TRBV5|TRBJ1-1	0.0056	0.0075	0.0097	0.0054	0.0068	0.0012	0.0027	0.0073
TRBV3|TRBJ2-4	0.0056	0.005	0.0065	0.0054	0.0049	0.01	0.0045	0.0038
TRBV16|TRBJ1-1	0.0048	0.0083	0.0016	0.008	0.008	0.0025	0.0063	0.007
TRBV12-2|TRBJ2-3	0.0048	0.0042	0.0049	0.0074	0.0099	0.0187	0.0102	0.0087
TRBV13-3|TRBJ1-4	0.0048	0.0083	0	0.004	0.0012	0.0025	0.0027	0.0038
TRBV19|TRBJ2-3	0.0048	0.0025	0.0081	0.0054	0.0037	0.0025	0.0024	0.0041
TRBV20|TRBJ2-5	0.0048	0.0033	0.0032	0.0047	0.0018	0	0.0009	0.0017
TRBV4|TRBJ1-6	0.0048	0.0017	0.0032	0.0007	0.0037	0	0.0003	0.0017
TRBV17|TRBJ2-7	0.0048	0.0075	0	0.0047	0.0136	0.0162	0.0087	0.0145
