VDJGene	WAS9CD8TCM	WAS6CD8TCM	WAS4CD8TCM	WAS8CD8TCM	WAS4CD4TEM	WAS6CD4TEM	WAS8CD4TEM	WAS9CD4TEM
TRBV15|TRBD1|TRBJ1-4	0.0008	0.0008	0.0081	0.0027	0.0025	0.01	0.0015	0.0015
TRBV23|TRBD2|TRBJ2-1	0.0008	0	0	0	0	0	0	0.0003
TRBV5|TRBD2|TRBJ1-6	0.0008	0	0	0.0007	0	0	0	0
TRBV29|TRBD1|TRBJ1-1	0.0008	0.0008	0.0032	0.0013	0.0037	0.0062	0.0033	0.0032
TRBV31|TRBD2|TRBJ2-3	0.0008	0.0067	0.0032	0.0054	0	0.0037	0.0003	0.0015
TRBV19|TRBD2|TRBJ2-2	0.0008	0.0008	0.0032	0.0007	0.0012	0.005	0.0006	0.0017
TRBV19|TRBD2|TRBJ1-6	0.0008	0	0	0	0	0	0	0
TRBV19|TRBD2|TRBJ1-4	0.0008	0	0	0.0007	0.0006	0	0	0.0003
TRBV30|TRBD2|TRBJ2-5	0.0008	0	0	0	0.0006	0	0	0
TRBV29|TRBD1|TRBJ2-4	0.0008	0.0025	0	0.002	0	0.005	0.0036	0.002
TRBV13-3|TRBD1|TRBJ2-3	0.0008	0.005	0.0032	0.0087	0.0037	0	0.0024	0.0026
TRBV20|TRBD2|TRBJ2-1	0.0008	0.0025	0	0.0034	0.0006	0	0.0012	0.0023
TRBV1|TRBD2|TRBJ1-2	0.0008	0	0.0016	0	0	0	0.0003	0
TRBV30|TRBD1|TRBJ2-3	0.0008	0	0	0	0	0	0	0
TRBV30|TRBD1|TRBJ1-4	0.0008	0	0	0	0.0006	0	0	0
TRBV13-3|TRBD2|TRBJ1-1	0.0008	0	0	0	0.0012	0	0.0015	0.0006
TRBV13-3|TRBD2|TRBJ1-5	0.0008	0	0	0.0007	0	0	0	0.0003
TRBV12-1|TRBD2|TRBJ1-4	0.0008	0.0008	0	0.0007	0.0006	0	0	0
TRBV2|TRBD2|TRBJ1-1	0.0008	0.0008	0	0	0.0006	0	0	0.0003
TRBV5|TRBD1|TRBJ2-2	0.0008	0.0008	0.0016	0.002	0.0018	0	0.0003	0.0006
TRBV5|TRBD1|TRBJ1-3	0.0008	0.0025	0.0016	0.002	0.0031	0.0012	0.0003	0.0009
TRBV14|TRBD2|TRBJ2-5	0.0008	0.0025	0	0	0.0043	0.0062	0.0033	0.002
TRBV3|TRBD1|TRBJ2-3	0.0008	0.0017	0	0.0013	0.0031	0.0037	0.0018	0.0017
TRBV29|TRBD2|TRBJ1-6	0.0008	0	0	0	0	0	0.0006	0
TRBV13-2|TRBD2|TRBJ1-1	0.0008	0.0008	0	0.0013	0	0.0012	0.0015	0
TRBV14|TRBD1|TRBJ2-2	0.0008	0.0008	0	0	0.0006	0	0.0003	0.0012
TRBV14|TRBD1|TRBJ2-1	0.0008	0	0.0032	0	0.0037	0.005	0.0012	0.0023
TRBV14|TRBD1|TRBJ2-5	0.0008	0.0017	0	0.0007	0.0074	0.0012	0.0015	0.0029
TRBV29|TRBD2|TRBJ2-4	0.0008	0	0	0.0013	0.0018	0	0.0039	0.0012
TRBV29|TRBD2|TRBJ2-3	0.0008	0	0	0.0007	0.0006	0	0.003	0.0012
TRBV14|TRBD1|TRBJ1-4	0.0008	0.0008	0.0016	0.0013	0.0031	0.0025	0.0015	0.0026
TRBV17|TRBD2|TRBJ2-3	0.0008	0	0	0.0013	0.0025	0.0037	0.003	0.002
TRBV3|TRBD1|TRBJ1-6	0.0008	0.0017	0	0	0.0006	0	0	0.0003
TRBV4|TRBD1|TRBJ1-5	0.0008	0.0025	0	0.0007	0.0018	0	0.0009	0.0015
TRBV15|TRBD2|TRBJ2-5	0.0008	0.0042	0.0049	0.0027	0.0025	0.0012	0.0015	0.0029
TRBV15|TRBD2|TRBJ1-1	0.0008	0	0.0032	0	0.0012	0.0012	0.0012	0.0006
TRBV4|TRBD1|TRBJ2-3	0.0008	0.0008	0.0016	0.0007	0.0018	0.0012	0.0018	0.0017
TRBV4|TRBD1|TRBJ2-7	0.0008	0.0025	0.0016	0	0.0012	0.0012	0.0027	0.0023
TRBV1|TRBD2|TRBJ1-3	0.0008	0	0	0.002	0	0	0	0.0006
TRBV16|TRBD2|TRBJ1-6	0.0008	0	0	0	0	0	0	0
TRBV16|TRBD2|TRBJ1-3	0.0008	0	0	0	0.0006	0.0012	0.0006	0.0003
TRBV12-2|TRBD2|TRBJ2-4	0.0008	0.0008	0	0.0013	0.0136	0.0075	0.0105	0.0087
TRBV12-2|TRBD2|TRBJ2-2	0.0008	0	0	0	0.0018	0.0012	0.0021	0.0035
TRBV13-1|TRBD2|TRBJ1-4	0.0008	0	0.0032	0	0	0	0.0003	0
TRBV13-1|TRBD2|TRBJ1-3	0.0008	0.0008	0	0.0007	0.0006	0.0025	0.0006	0.0009
TRBV26|TRBD2|TRBJ2-3	0.0008	0	0	0	0	0	0	0
TRBV29|TRBD1|TRBJ1-5	0.0008	0.0042	0	0.002	0	0.0037	0.0003	0.0006
TRBV5|TRBD2|TRBJ1-1	0.0008	0.0008	0	0.0007	0.0006	0	0.0006	0.0009
TRBV1|TRBD2|TRBJ2-3	0.0008	0.0083	0	0.0013	0.0037	0.0025	0.0048	0.0067
TRBV23|TRBD2|TRBJ2-7	0.0008	0	0.0016	0.0007	0	0	0	0.0006
TRBV16|TRBD1|TRBJ2-3	0.0008	0.0033	0	0	0.0025	0.0025	0.003	0.0017
TRBV16|TRBD1|TRBJ1-2	0.0008	0.0067	0.0032	0.0007	0.0025	0.0012	0.003	0.0017
TRBV12-2|TRBD1|TRBJ1-2	0.0008	0	0	0	0.0043	0.0062	0.0048	0.0044
TRBV26|TRBD2|TRBJ2-4	0.0008	0	0	0.0013	0	0	0.0006	0.0006
TRBV12-2|TRBD1|TRBJ2-4	0.0008	0	0	0.0013	0.0037	0.0075	0.0075	0.0055
TRBV12-2|TRBD1|TRBJ2-2	0.0008	0.0008	0.0016	0.0013	0.0037	0.0012	0.0015	0.0044
TRBV12-2|TRBD1|TRBJ2-1	0.0008	0	0	0	0.0117	0	0.0075	0.0067
TRBV2|TRBD2|TRBJ2-5	0.0008	0.0017	0.0081	0.002	0.0018	0.0012	0.0018	0.0006
TRBV12-1|TRBD1|TRBJ1-2	0.0008	0.0008	0	0.004	0.0049	0.0025	0.0054	0.0064
TRBV12-1|TRBD1|TRBJ1-6	0.0008	0.0008	0.0016	0	0.0018	0	0.0006	0.0032
TRBV12-1|TRBD1|TRBJ1-4	0.0008	0.0025	0	0.002	0.0043	0	0.0036	0.007
TRBV23|TRBD1|TRBJ2-7	0.0008	0.0008	0	0.0007	0.0006	0	0.0003	0.0003
TRBV23|TRBD1|TRBJ1-3	0.0008	0	0	0	0	0	0	0
TRBV1|TRBD1|TRBJ1-5	0.0008	0.0025	0	0.002	0.0025	0.0012	0.0006	0.0006
TRBV1|TRBD1|TRBJ1-4	0.0008	0.01	0.0049	0.008	0.0037	0.0012	0.003	0.002
TRBV1|TRBD1|TRBJ1-7	0.0008	0	0	0	0	0	0	0
TRBV3|TRBD2|TRBJ1-1	0.0008	0	0	0	0.0006	0.0012	0	0.0012
TRBV13-2|TRBD1|TRBJ2-4	0.0008	0.0017	0.0049	0.004	0.0012	0.0012	0.0015	0.002
TRBV26|TRBD1|TRBJ1-3	0.0008	0.0025	0	0.002	0.0006	0	0.0012	0.0012
TRBV4|TRBD2|TRBJ2-2	0.0008	0.0017	0.0032	0.0007	0.0012	0.0012	0.0006	0.0009
TRBV26|TRBD1|TRBJ2-5	0.0008	0	0.0032	0.0007	0.0006	0.0012	0.0003	0.0012
TRBV26|TRBD1|TRBJ2-1	0.0008	0	0	0.002	0	0	0.0009	0
TRBV2|TRBD1|TRBJ2-3	0.0008	0	0	0.0007	0	0	0.0003	0.0003
TRBV2|TRBD1|TRBJ2-2	0.0008	0.0017	0	0	0	0.0012	0.0003	0
TRBV2|TRBD1|TRBJ2-5	0.0008	0.0008	0	0.002	0.0006	0.0012	0.0003	0.0003
TRBV17|TRBD1|TRBJ1-4	0.0008	0.0008	0	0.0034	0.0012	0.0012	0	0.0009
TRBV4-1|TRBD2|TRBJ2-5	0	0.0008	0	0	0	0	0	0
TRBV20|TRBD1|TRBJ1-5	0	0	0	0.0007	0.0006	0.0012	0.0009	0
TRBV20|TRBD1|TRBJ1-7	0	0	0	0.0007	0	0	0	0
TRBV20|TRBD1|TRBJ1-6	0	0	0	0.0013	0.0012	0	0.0003	0.0003
TRBV5|TRBD2|TRBJ1-5	0	0	0	0	0	0	0	0.0003
TRBV15|TRBD1|TRBJ1-6	0	0.0008	0	0.0013	0.0012	0	0	0.0012
TRBV23|TRBD2|TRBJ2-3	0	0	0	0.0013	0	0	0	0.0003
TRBV29|TRBD1|TRBJ1-6	0	0	0.0032	0.0013	0.0012	0.0012	0	0.0009
TRBV29|TRBD1|TRBJ1-2	0	0.0017	0.0016	0.0027	0.0031	0	0.0045	0.0035
TRBV31|TRBD1|TRBJ1-5	0	0.0017	0.0032	0.0013	0	0.0012	0.0009	0
TRBV30|TRBD2|TRBJ2-1	0	0	0.0016	0	0	0	0	0
TRBV19|TRBD2|TRBJ1-2	0	0	0	0	0	0.0012	0	0
TRBV19|TRBD2|TRBJ1-3	0	0.0008	0.0032	0	0.0012	0	0.0003	0.0006
TRBV29|TRBD1|TRBJ2-5	0	0.0025	0.0016	0.0007	0.0037	0.0037	0.006	0.0041
TRBV29|TRBD1|TRBJ2-2	0	0.0033	0	0.0013	0.0025	0.0012	0.0006	0.002
TRBV31|TRBD2|TRBJ1-1	0	0.0017	0	0	0	0	0.0006	0.0006
TRBV31|TRBD2|TRBJ1-2	0	0.0008	0	0	0	0	0	0
TRBV31|TRBD2|TRBJ1-3	0	0	0	0	0.0006	0	0.0003	0.0009
TRBV13-3|TRBD1|TRBJ1-6	0	0.0025	0	0.0007	0.0037	0.0037	0.0015	0.0029
TRBV12-1|TRBD2|TRBJ2-2	0	0	0	0	0.0018	0	0.0003	0.0015
TRBV7-2|TRBD1|TRBJ1-3	0	0	0.0016	0	0	0	0	0
TRBV20|TRBD2|TRBJ2-3	0	0.0025	0	0.0013	0.0006	0	0.0012	0.0003
TRBV20|TRBD2|TRBJ2-2	0	0	0.0032	0.0007	0.0006	0	0	0.0003
TRBV30|TRBD1|TRBJ2-5	0	0	0	0.0007	0	0	0	0.0003
TRBV30|TRBD1|TRBJ2-7	0	0	0	0	0.0012	0.0012	0.0009	0.0006
TRBV30|TRBD1|TRBJ1-2	0	0.0008	0	0	0	0	0.0006	0
TRBV30|TRBD1|TRBJ1-1	0	0	0	0	0	0.0012	0.0003	0
TRBV30|TRBD1|TRBJ1-7	0	0.0008	0	0	0	0	0	0
TRBV20|TRBD2|TRBJ1-3	0	0	0	0	0	0	0	0.0003
TRBV20|TRBD2|TRBJ1-1	0	0	0	0	0	0	0	0.0003
TRBV13-3|TRBD2|TRBJ1-2	0	0	0	0	0	0	0	0.0003
TRBV13-3|TRBD2|TRBJ1-6	0	0	0	0.0007	0	0	0.0003	0.0003
TRBV13-3|TRBD2|TRBJ1-4	0	0.0008	0	0	0	0	0	0
TRBV12-1|TRBD2|TRBJ1-1	0	0	0	0	0	0	0.0015	0
TRBV12-1|TRBD2|TRBJ1-3	0	0.0008	0	0	0	0	0.0006	0.0003
TRBV12-1|TRBD2|TRBJ1-2	0	0	0	0	0	0.0012	0.0003	0.0015
TRBV2|TRBD2|TRBJ1-3	0	0	0	0.0007	0.0006	0	0	0.0006
TRBV2|TRBD2|TRBJ1-5	0	0	0	0.002	0	0	0	0
TRBV23|TRBD2|TRBJ1-1	0	0	0	0.0007	0	0	0	0
TRBV2|TRBD2|TRBJ2-2	0	0.0008	0.0016	0.0007	0.0012	0	0.0006	0
TRBV5|TRBD1|TRBJ1-6	0	0.0008	0.0016	0.0034	0.0012	0.0012	0.0021	0.0006
TRBV30|TRBD2|TRBJ1-3	0	0.0008	0	0	0	0	0	0
TRBV10|TRBD1|TRBJ1-4	0	0	0	0	0.0006	0	0	0
TRBV14|TRBD2|TRBJ2-1	0	0.0017	0	0	0.0025	0.0062	0.0039	0.002
TRBV14|TRBD2|TRBJ2-2	0	0	0	0.0007	0	0	0.0009	0
TRBV14|TRBD2|TRBJ2-3	0	0	0.0016	0	0.0006	0.0037	0.0015	0.002
TRBV14|TRBD2|TRBJ2-4	0	0.0017	0.0016	0.0007	0	0	0.0015	0.002
TRBV29|TRBD2|TRBJ1-5	0	0	0	0	0	0	0	0.0006
TRBV29|TRBD2|TRBJ1-4	0	0	0	0	0.0012	0	0.0003	0.0006
TRBV29|TRBD2|TRBJ1-3	0	0	0	0	0	0.0025	0	0.0003
TRBV29|TRBD2|TRBJ1-1	0	0	0	0	0.0012	0.0037	0.0012	0.0006
TRBV13-2|TRBD2|TRBJ1-6	0	0.0058	0	0.0013	0.0006	0.0012	0	0
TRBV14|TRBD1|TRBJ2-7	0	0	0	0	0.0031	0.0062	0.0033	0.0041
TRBV14|TRBD1|TRBJ2-4	0	0.0033	0.0032	0.0007	0	0	0.0012	0.0003
TRBV29|TRBD2|TRBJ2-7	0	0.0017	0.0049	0.0013	0.0006	0.0025	0.0024	0.002
TRBV29|TRBD2|TRBJ2-2	0	0.0008	0.0016	0.0007	0.0006	0.005	0.0003	0
TRBV14|TRBD2|TRBJ1-3	0	0	0	0	0	0.0012	0.0006	0
TRBV14|TRBD2|TRBJ1-2	0	0	0	0.0007	0.0012	0	0	0.0006
TRBV14|TRBD2|TRBJ1-1	0	0	0	0.0007	0	0	0	0.0009
TRBV14|TRBD2|TRBJ1-6	0	0	0	0	0	0	0.0003	0
TRBV14|TRBD2|TRBJ1-4	0	0	0	0	0.0006	0	0	0.0003
TRBV14|TRBD1|TRBJ1-2	0	0	0.0032	0	0	0.0012	0.0006	0.0006
TRBV14|TRBD1|TRBJ1-3	0	0.0017	0	0.0007	0.0006	0.0012	0.0003	0.0006
TRBV14|TRBD1|TRBJ1-5	0	0	0	0	0.0012	0	0.0006	0.0006
TRBV14|TRBD1|TRBJ1-6	0	0	0	0	0.0012	0	0.0003	0.0012
TRBV14|TRBD1|TRBJ1-7	0	0	0.0016	0	0	0	0	0
TRBV21|TRBD1|TRBJ1-1	0	0	0	0	0	0	0	0.0003
TRBV17|TRBD2|TRBJ2-4	0	0.0008	0.0016	0.0007	0.0018	0.0012	0.0027	0.0023
TRBV29|TRBD2|TRBJ1-2	0	0	0	0	0	0	0	0.0003
TRBV17|TRBD2|TRBJ1-4	0	0.0017	0	0	0	0	0	0
TRBV17|TRBD2|TRBJ1-1	0	0	0	0	0	0	0	0.0006
TRBV4|TRBD1|TRBJ1-2	0	0.0017	0	0.002	0.0025	0	0.0003	0.0012
TRBV4|TRBD1|TRBJ1-4	0	0.0008	0	0.0013	0.0012	0	0.0024	0.0015
TRBV15|TRBD2|TRBJ1-2	0	0	0	0.0007	0	0	0	0
TRBV15|TRBD2|TRBJ1-3	0	0.0008	0	0	0	0	0	0
TRBV15|TRBD2|TRBJ1-6	0	0	0.0032	0	0	0	0.0006	0
TRBV15|TRBD2|TRBJ1-4	0	0	0	0	0	0	0	0.0006
TRBV15|TRBD2|TRBJ1-5	0	0.0008	0	0	0	0	0	0
TRBV28|TRBD2|TRBJ2-1	0	0	0	0	0	0.0012	0	0
TRBV21|TRBD1|TRBJ2-1	0	0	0	0	0.0006	0	0	0
TRBV4|TRBD1|TRBJ2-2	0	0.0008	0.0032	0.0007	0	0	0.0009	0
TRBV1|TRBD2|TRBJ1-1	0	0.0008	0.0032	0.0007	0.0006	0.0012	0.0003	0.0003
TRBV16|TRBD2|TRBJ1-5	0	0	0	0	0	0	0.0003	0
TRBV16|TRBD2|TRBJ1-4	0	0	0	0.0013	0.0012	0	0	0.0012
TRBV16|TRBD2|TRBJ1-1	0	0.0017	0	0	0	0	0.0003	0.0003
TRBV16|TRBD2|TRBJ1-2	0	0.0008	0	0	0.0012	0	0.0006	0
TRBV13-1|TRBD2|TRBJ1-1	0	0.0017	0	0	0	0.0012	0.0009	0.0015
TRBV13-1|TRBD2|TRBJ1-2	0	0.0008	0	0.0013	0.0006	0	0	0.0006
TRBV26|TRBD2|TRBJ2-7	0	0.0008	0	0.0013	0.0006	0.0025	0.0009	0.0012
TRBV12-2|TRBD2|TRBJ1-6	0	0	0	0	0.0018	0.0012	0	0.0003
TRBV12-2|TRBD2|TRBJ1-5	0	0	0	0	0.0006	0	0	0.0006
TRBV12-2|TRBD2|TRBJ1-2	0	0	0	0	0.0006	0.0025	0	0.0006
TRBV12-2|TRBD2|TRBJ1-3	0	0	0	0	0	0	0.0003	0.0003
TRBV12-2|TRBD2|TRBJ1-1	0	0	0	0	0	0	0.0012	0.0017
TRBV23|TRBD2|TRBJ2-4	0	0.0017	0	0	0	0	0	0
TRBV16|TRBD1|TRBJ1-6	0	0.0008	0.0016	0.002	0.0006	0.0012	0.0003	0.0003
TRBV5|TRBD2|TRBJ1-3	0	0.0008	0	0.0007	0.0006	0	0	0
TRBV12-2|TRBD1|TRBJ1-5	0	0	0	0.002	0.0037	0.0025	0.0006	0.0015
TRBV12-2|TRBD1|TRBJ1-6	0	0.0008	0.0016	0	0.0006	0	0.0009	0.0017
TRBV12-2|TRBD1|TRBJ1-3	0	0	0	0.002	0.0018	0.005	0.0051	0.0058
TRBV26|TRBD2|TRBJ1-4	0	0	0	0	0	0	0.0003	0
TRBV26|TRBD2|TRBJ1-1	0	0	0	0	0	0	0.0003	0
TRBV26|TRBD2|TRBJ1-2	0	0	0	0	0	0	0.0003	0
TRBV26|TRBD2|TRBJ1-3	0	0	0	0	0	0	0.0003	0
TRBV16|TRBD2|TRBJ2-2	0	0.0025	0	0.0013	0.0031	0.0037	0.0024	0.0012
TRBV26|TRBD2|TRBJ2-2	0	0.0008	0	0	0	0	0.0003	0.0003
TRBV12-2|TRBD1|TRBJ2-3	0	0.0008	0.0016	0.0054	0.0012	0.0125	0.0036	0.002
TRBV12-1|TRBD1|TRBJ1-3	0	0	0.0016	0.0013	0.0031	0.005	0.0009	0.0044
TRBV12-1|TRBD1|TRBJ1-1	0	0	0	0	0.0055	0.01	0.0066	0.0049
TRBV12-1|TRBD1|TRBJ1-5	0	0	0	0	0.0006	0.0025	0.0003	0
TRBV23|TRBD1|TRBJ2-1	0	0	0.0016	0	0	0	0.0006	0
TRBV23|TRBD1|TRBJ2-3	0	0	0	0.0027	0	0.0012	0	0.0006
TRBV23|TRBD1|TRBJ2-2	0	0	0	0	0	0	0.0003	0
TRBV23|TRBD1|TRBJ2-5	0	0	0	0	0	0	0.0009	0.0006
TRBV23|TRBD1|TRBJ2-4	0	0.0008	0.0032	0	0	0	0	0
TRBV23|TRBD1|TRBJ1-6	0	0	0.0016	0	0.0012	0	0.0003	0.0003
TRBV23|TRBD1|TRBJ1-4	0	0	0	0.0007	0	0	0	0
TRBV23|TRBD1|TRBJ1-5	0	0	0	0	0	0	0	0.0003
TRBV1|TRBD1|TRBJ1-6	0	0.0042	0.0049	0.0047	0.0031	0	0.0006	0.0009
TRBV3|TRBD2|TRBJ1-2	0	0.0017	0	0.0007	0	0	0.0003	0
TRBV3|TRBD2|TRBJ1-3	0	0	0	0	0	0	0	0.0006
TRBV3|TRBD2|TRBJ1-5	0	0	0	0	0.0006	0	0	0.0003
TRBV13-2|TRBD2|TRBJ1-2	0	0	0.0016	0.0013	0	0	0	0
TRBV12-1|TRBD1|TRBJ2-2	0	0	0.0016	0.0013	0.0031	0.0037	0.003	0.0012
TRBV12-1|TRBD1|TRBJ2-7	0	0.0025	0.0049	0.002	0.0105	0.0037	0.0117	0.009
TRBV13-2|TRBD2|TRBJ1-4	0	0	0	0	0	0	0.0003	0.0003
TRBV9|TRBD1|TRBJ2-1	0	0	0	0	0	0	0.0003	0
TRBV27|TRBD1|TRBJ1-5	0	0	0	0	0	0.0012	0	0
TRBV13-1|TRBD1|TRBJ1-7	0	0	0.0016	0	0	0	0	0
TRBV30|TRBD2|TRBJ2-7	0	0	0	0.0007	0	0	0.0009	0.0003
TRBV19|TRBD2|TRBJ1-1	0	0.0008	0	0	0	0	0	0.0003
TRBV18|TRBD1|TRBJ1-1	0	0	0	0	0	0	0.0003	0
TRBV26|TRBD1|TRBJ2-2	0	0	0	0.0013	0	0	0	0
TRBV26|TRBD1|TRBJ2-3	0	0	0	0.0007	0.0006	0	0	0.0006
TRBV4|TRBD2|TRBJ1-2	0	0	0	0	0	0.0012	0.0003	0
TRBV4|TRBD2|TRBJ1-1	0	0	0	0	0	0	0.0003	0
TRBV18|TRBD2|TRBJ2-5	0	0	0	0	0	0	0.0003	0
TRBV24|TRBD1|TRBJ1-5	0	0	0	0.0007	0	0	0	0
TRBV15|TRBD1|TRBJ2-4	0	0.0017	0.0146	0.0034	0.0006	0.0025	0.0018	0.0012
TRBV2|TRBD1|TRBJ1-2	0	0.0025	0	0.0047	0	0	0.0003	0.0009
TRBV2|TRBD1|TRBJ1-6	0	0	0	0	0	0	0.0003	0.0003
TRBV2|TRBD1|TRBJ1-4	0	0.0033	0.0016	0.0027	0.0006	0	0.0003	0.0006
TRBV2|TRBD1|TRBJ1-5	0	0.0017	0.0016	0.0013	0	0	0.0003	0
TRBV2|TRBD1|TRBJ2-4	0	0.0025	0.0016	0.0027	0.0006	0	0.0003	0.0006
TRBV17|TRBD1|TRBJ2-4	0	0	0.0016	0.0013	0.0018	0	0.0003	0.0023
TRBV17|TRBD1|TRBJ2-5	0	0.0017	0.0016	0.0007	0.0043	0.0037	0.0018	0.0026
TRBV17|TRBD1|TRBJ2-1	0	0	0.0016	0.0027	0.0006	0.0025	0.0042	0.0046
TRBV17|TRBD1|TRBJ2-2	0	0.0008	0	0.0013	0.0074	0.0037	0.0012	0.0052
TRBV17|TRBD1|TRBJ2-3	0	0.0008	0	0.002	0.0012	0.0087	0.0036	0.0026
TRBV19|TRBD1|TRBJ1-5	0	0.0008	0.0016	0.0027	0.0006	0	0.0003	0.0003
TRBV19|TRBD1|TRBJ1-2	0	0.0025	0.0016	0.0013	0.0018	0.0025	0.0015	0.0017
TRBV19|TRBD1|TRBJ2-3	0	0.0025	0.0049	0.0027	0.0006	0.0012	0.0012	0.002
TRBV17|TRBD1|TRBJ1-6	0	0.0008	0	0	0.0006	0	0	0.0006
TRBV17|TRBD1|TRBJ1-5	0	0	0	0	0.0018	0	0.0003	0.0003
TRBV17|TRBD1|TRBJ1-3	0	0	0.0016	0.0007	0.0006	0	0.0003	0.0006
TRBV17|TRBD1|TRBJ1-2	0	0.0008	0	0	0.0025	0	0	0.0009
TRBV17|TRBD1|TRBJ1-1	0	0.0017	0	0.0007	0.0018	0.0012	0.0024	0.0023
TRBV24|TRBD2|TRBJ1-4	0	0	0.0016	0	0	0	0	0
